Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonCloudFront,GET,US-Requests-Tier1,arn:aws:cloudfront::826047549130:distribution/E2T5L76OUAZFLZ,9/1/17 0:00,10/1/17 0:00,92
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/ETS1LTYF9XVQD,9/1/17 0:00,10/1/17 0:00,1379
AmazonCloudFront,GET,EU-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,268809329750
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T5L76OUAZFLZ,9/1/17 0:00,10/1/17 0:00,1979217289
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E2T5L76OUAZFLZ,9/1/17 0:00,10/1/17 0:00,92
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/E2T5L76OUAZFLZ,9/1/17 0:00,10/1/17 0:00,1979217289
AmazonCloudFront,GET,IN-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,25059744434
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,27839051918
AmazonCloudFront,GET,US-DataTransfer-Out-Bytes,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,27839051918
AmazonCloudFront,GET,US-Out-Bytes-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E3B28GG4IGTKSS,9/1/17 0:00,10/1/17 0:00,962673036
AmazonCloudFront,GET,CA-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/E26YO0NX4QTGUN,9/1/17 0:00,10/1/17 0:00,1518
AmazonCloudFront,GET,US-Requests-HTTP-Static,arn:aws:cloudfront::826047549130:distribution/EZ0DMKQRCGWBX,9/1/17 0:00,10/1/17 0:00,2479
