Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,GetObject,Requests-Tier2,playbackclc.com,9/1/17 0:00,10/1/17 0:00,12709
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,playbacknetworker.com,9/1/17 0:00,10/1/17 0:00,20672
AmazonS3,HeadBucket,Requests-Tier2,playbackuli.com,9/1/17 0:00,10/1/17 0:00,66
AmazonS3,PutObject,Requests-Tier1,iplaybacklive.com,9/1/17 0:00,10/1/17 0:00,3070
AmazonS3,PutObject,C3DataTransfer-In-Bytes,nais.playbacknow.com,9/1/17 0:00,10/1/17 0:00,3106635
AmazonS3,PutObject,Requests-Tier1,nasmm.playbacknow.com,9/1/17 0:00,10/1/17 0:00,4204
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackclc.com,9/1/17 0:00,10/1/17 0:00,10135827
AmazonS3,PutObject,C3DataTransfer-In-Bytes,iplaybacklive.com,9/1/17 0:00,10/1/17 0:00,2539855
AmazonS3,GetObject,Requests-Tier2,playbacknow.com,9/1/17 0:00,10/1/17 0:00,50
AmazonS3,GetObject,USE1-CloudFront-Out-Bytes,playbacknaspa.com,9/1/17 0:00,10/1/17 0:00,3274958085
AmazonS3,HeadBucket,Requests-Tier2,playbacknicabm.com,9/1/17 0:00,10/1/17 0:00,66
AmazonS3,PutObject,Requests-Tier1,acca.playbacknow.com,9/1/17 0:00,10/1/17 0:00,5913
AmazonS3,PutObject,Requests-Tier1,playbacknrpa.com,9/1/17 0:00,10/1/17 0:00,3750
AmazonS3,PutObject,C3DataTransfer-In-Bytes,acca.playbacknow.com,9/1/17 0:00,10/1/17 0:00,4561419
AmazonS3,PutObject,Requests-Tier1,playbackndsc.com,9/1/17 0:00,10/1/17 0:00,5856
AmazonS3,PutObject,C3DataTransfer-In-Bytes,digitaldealer.playbacknow.com,9/1/17 0:00,10/1/17 0:00,3947845
AmazonS3,GetObject,DataTransfer-Out-Bytes,playbackndsc.com,9/1/17 0:00,10/1/17 0:00,108682837
AmazonS3,HeadBucket,C3DataTransfer-Out-Bytes,playbackaanp.com,9/1/17 0:00,10/1/17 0:00,20684
AmazonS3,HeadBucket,Requests-Tier2,playbackaanp.com,9/1/17 0:00,10/1/17 0:00,66
AmazonS3,PutObject,Requests-Tier1,playbackclc.com,9/1/17 0:00,10/1/17 0:00,11208
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackdcdental.com,9/1/17 0:00,10/1/17 0:00,289659
AmazonS3,PutObject,Requests-Tier1,playbackc21.com,9/1/17 0:00,10/1/17 0:00,2747
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbacknow.com,9/1/17 0:00,10/1/17 0:00,1008709
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackcas.com,9/1/17 0:00,10/1/17 0:00,2682460
AmazonS3,GetObject,Requests-Tier2,playbacknetworker.com,9/1/17 0:00,10/1/17 0:00,7081
AmazonS3,GetObject,USE1-CloudFront-Out-Bytes,playbackclc.com,9/1/17 0:00,10/1/17 0:00,23011241327
AmazonS3,HeadBucket,Requests-Tier2,playbacknetworker.com,9/1/17 0:00,10/1/17 0:00,162
AmazonS3,PutObject,Requests-Tier1,playbackcaregiving.com,9/1/17 0:00,10/1/17 0:00,1625
AmazonS3,PutObject,Requests-Tier1,playbacknar.com,9/1/17 0:00,10/1/17 0:00,8291
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackacp.com,9/1/17 0:00,10/1/17 0:00,70503484
AmazonS3,PutObject,Requests-Tier1,playbackaaj.com,9/1/17 0:00,10/1/17 0:00,5646
AmazonS3,PutObject,C3DataTransfer-In-Bytes,playbackndsc.com,9/1/17 0:00,10/1/17 0:00,5228825
